id,sex,race,age,zipcode,lon,lat,young,race.num,chicago
1,M,Hi,57,60107,-88.1694768799666,42.0268557744672,0,3,2
2,F,Bl,77,60651,-87.7293831539158,41.8970562570413,0,2,1
3,M,Wh,20,60402,-87.8028505601212,41.857546662127596,1,1,2
4,F,Hi,35,60629,-87.6904318289142,41.7637792586955,0,3,1
5,F,Wh,32,60618,-87.6880597747362,41.95173928518,0,1,1
6,M,Hi,21,60641,-87.7504403167819,41.9604728067356,1,3,1
7,M,Hi,36,60612,-87.7003785325001,41.8884488596366,0,3,1
8,F,Hi,19,60624,-87.7186381873675,41.8910974669219,1,3,1
9,M,Wh,22,60004,-87.9709033137331,42.1224138170896,1,1,2
10,M,Bl,40,60617,-87.5425715420944,41.6981516505109,0,2,1
11,M,Hi,34,60660,-87.6604404589932,41.9832884365479,0,3,1
12,M,Hi,51,60609,-87.6314774427011,41.8301274666521,0,3,1
13,F,Bl,21,60624,-87.7182864581702,41.8897927478166,1,2,1
14,M,Wh,24,60304,-87.793246689584,41.8789971102157,1,1,2
15,M,Wh,35,60007,-87.9927395349701,42.002490663689,0,1,2
16,F,Wh,30,60935,-88.1739931678335,41.1602898415025,0,1,2
17,F,Wh,24,60510,-88.3908723400875,41.8293346396321,1,1,2
18,M,Hi,24,60608,-87.6983039745029,41.8413519298965,1,3,1
19,F,Wh,38,60647,-87.6880944717374,41.9220185325542,0,1,1
20,F,Hi,43,60609,-87.6662755690751,41.7964309904861,0,3,1
21,M,Wh,53,60626,-87.6732174351717,42.0104309342464,0,1,1
22,M,Wh,41,60062,-87.8675144373249,42.1219357783359,0,1,2
23,M,Wh,71,60613,-87.6385643401221,41.9571643597097,0,1,1
24,M,Wh,33,60641,-87.7398745166887,41.9503867076914,0,1,1
25,M,Hi,40,60622,-87.7029092565728,41.9001515031941,0,3,1
26,F,Wh,28,60630,-87.7322844023187,41.9735583066664,0,1,1
27,F,Wh,33,60623,-87.7145235302019,41.8283815669014,0,1,1
28,F,Wh,23,60804,-87.7663556035555,41.8561292640632,1,1,2
29,F,Wh,22,60555,-88.1766334100847,41.8335718672606,1,1,2
30,M,Bl,75,60621,-87.6265632134279,41.7632256235236,0,2,1
31,M,Wh,21,60638,-87.7726253389802,41.7928479424774,1,1,1
32,M,Hi,34,60608,-87.6733041376013,41.8642401733445,0,3,1
33,M,Wh,22,60632,-87.6891684824006,41.8297939303168,1,1,1
34,M,Wh,23,60638,-87.8015623367768,41.794225596321,1,1,1
35,M,Wh,38,60139,-88.075978315459,41.8967628714561,0,1,2
36,F,Wh,31,60013,-88.2480588007699,42.2081683382348,0,1,2
37,F,Wh,42,60120,-88.2402040598663,42.0165221625829,0,1,2
38,F,Hi,23,60617,-87.5684345107149,41.7118506381003,1,3,1
39,M,Bl,32,60640,-87.6703677635353,41.9646205374994,0,2,1
40,F,Wh,42,60618,-87.7064271182947,41.9537952264251,0,1,1
41,M,Bl,41,60827,-87.6434356796604,41.6485190638146,0,2,2
42,F,Bl,68,60628,-87.6004461133736,41.7171797934058,0,2,1
43,M,Bl,48,60438,-87.5380681326304,41.5580312694797,0,2,2
44,F,Wh,18,60439,-87.9489395203108,41.6954328155817,1,1,2
45,F,Wh,22,60453,-87.7413698776578,41.7138323938758,1,1,2
46,M,Bl,43,60628,-87.6330401732706,41.7015661798735,0,2,1
47,F,Wh,23,60103,-88.1960097752599,41.966243969621,1,1,2
48,M,Wh,49,60636,-87.6631607345446,41.7773497698591,0,1,1
49,M,Hi,31,60616,-87.6191241836718,41.8359833708159,0,3,1
50,F,Wh,28,60706,-87.8258572890668,41.971815697552,0,1,2
51,F,Ot,25,60647,-87.6941901615122,41.9317902200723,1,4,1
52,F,Hi,23,60624,-87.7394598849226,41.8822707629838,1,3,1
